Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 01:23:26 EDT,5/24/23,1:23:26,Photo,154,70,59,8,13,0,1,1,0,2,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786264152904904,"Remember when calculators were considered “cheating” because long-hand arithmetic was “important”. Remember when dictionaries were considered “cheating” because spelling was “important”. Remember when spellcheck was considered “cheating” because using a dictionary was “important”. *I still use spellcheck and get spelling wrong - it’s been no disadvantage to me. Remember when word processing (do people still use that word?!) was considered “cheating” because handwriting was “important”. *In year 6 (1994) our school had a handwriting class – how ridiculous is that concept in 2023?! I also failed it, because who gives a fuck about handwriting. There are so many examples of this and Generative Artificial Intelligence (GAI) will be no exception. Really, will writing ability be “important” in the future? It’s not even “important” now because GAI can already write on our behalf… And if someone is capable enough to prompt (i.e. write) GAI to give them a written response, they have “adequate” writing ability to survive and thrive in the future. So, instead of demonizing GAI and putting “writing” on a pedestal, just think back to all the nonsense we used to do, and now don’t due to calculators, dictionaries, spell check and the trillion other technologies that have come around.",https://www.facebook.com/photo.php?fbid=10159160939991269&set=gm.786264152904904&type=3,,,,,,,,2.66
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 00:55:18 EDT,5/24/23,0:55:18,Native Video,0,0,0,0,0,0,0,0,0,0,owned,-,0,0,0,0:00:00,https://www.facebook.com/groups/703007927897194/permalink/786262292905090,"[LLM Benchmark Score Comparison] 1) OpenAI is still one cycle ahead of Google 2) PaLM(X-2) requires Flan+CoT+SC tuning to be similar to GPT-X. 3) Rapid growth of open source LLMs, Vicuna's younger brother Guanaco is expected. *Based on MMLU, which is the Reasoning Task evaluation #ChatGPT #GPT3 #GPT4 #InstructGPT #RLHF #Bard #OpenAI #Google #MS #Bing #Meta #ElonMusk #Alpago #NLG #NLP #NLU #NLx #Attention #Transformer #LLaMA #Fewshot #PaLM #PaLM2 #Foundation #LLM #Vicuna #Guanaco #CoT #PEFT #LORA",https://www.facebook.com/groups/703007927897194/permalink/786262292905090/,,,,,,,,-14
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 00:12:44 EDT,5/24/23,0:12:44,Status,15,2,13,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786244762906843,What has been your biggest letdown/frustration with ChatGPT when it comes to education?,,,,,,,,,-2.6
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-23 23:58:55 EDT,5/23/23,23:58:55,Status,36,10,25,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786165426248110,Is there a free AI image generator? I can’t draw the greatest and want to create an example of something.,,,,,,,,,-1.08
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-23 23:58:47 EDT,5/23/23,23:58:47,Link,8,4,0,4,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786226202908699,"It seems that there are many questions about rubrics, so I went ahead and created one. (Rubric prompt) As the prompt is quite lengthy, you will find a copy button in the document. Once you click on it and copy the prompt, you can simply paste it into ChatGPT and execute it. Feel free to give it a try and, if desired, personalize the prompt by reading its contents and modifying it to suit your own needs.",https://share.all-you.co.kr/api/v1/content/e43d72091095ab1059eaec2d3fd180441c6ed9f5,,,"Assuming the role of an efficient AI assistant with proficiency in academic processes, your task...",share.allyou.co.kr,,,,-3.12
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 19:46:04 EDT,5/23/23,19:46:04,Status,6,1,5,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786140439583942,Any ideas how to we can use chatgpt to analyze students science explanations and identify misconceptions?,,,,,,,,,-6.67
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 19:44:48 EDT,5/23/23,19:44:48,Status,8,1,7,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786150672916252,Anyone know of AI that can convert pictures into vectors?,,,,,,,,,-5
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 19:44:38 EDT,5/23/23,19:44:38,Link,1,0,0,0,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786145932916726,"Our school recently replaced all of our Wireless APs, so I used Chat GPT as my Ghost Writer... But fear not, valiant warriors! Should any disturbances disrupt your interstellar communication, I present a remedy of utmost simplicity. Just sever your connection from the wireless realm (disconnect or restart the device), if only for a fleeting moment, and then reconnect. Through this act, you shall rekindle the lost harmony and restore balance to the force.",https://media.tenor.co/aczfSh3J5NAAAAAC/star-wars-luke-skywalker.gif?t=AAX8Y5bBh-sA3iGBRgD-OA&c=VjFfZmFjZWJvb2s&itemid=25791298,,,media.tenor.co,,,,,-25
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 19:44:27 EDT,5/23/23,19:44:27,Status,160,82,65,4,4,3,1,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786143989583587,"**tldr; Created something for students to get essay feedback, teachers used it instead (some without telling their students it's AI generated). Is that right?** Hey everyone! I'm a student and I created a website that uses GPT to give essay feedback to students. I wanted to create a way for them to use it honestly - it doesn't write your essay, it just gives you feedback, exactly like a teacher would. So there's a bit of a twist. It recently it started growing quite a bit. I figured it got shared in some student group chats. But then, I looked more closely - it wasn't students using it.** It was *teachers. ***What was supposed to be a tool for students to use AI honestly became a tool for teachers to use (presumably) *dishonestly *to give essay feedback to their students! Interested to hear what teachers think of this. As a student at a university, I arguably have a vested interest in keeping this out of teachers' hands, but now I'm thinking that there are surely ways I can make teachers work faster so they can spend more time doing the things that matters. If I can create a tool that generates lesson plans or PowerPoint slides or homework questions, it leaves more time for you to build relationships with students and do the stuff that AI *can't *do... EDIT: The reason I say 'dishonestly' is that some (not all) are misrepresenting it to their students by saying they wrote it themselves. In the same way it's dishonest for a student to falsely claim they wrote their essay themselves when in fact it was written by AI, it's dishonest for a teacher to lie and say they wrote a feedback when in fact they didn't. Personally, my stance on the whole AI debacle is that people (students and teachers) should be able to use all tools at their disposal as that's what'll be used in the future. But, neither group should be able to *lie* about that. That's may take anyway, feel free to disagree!",,,,,,,,,4
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 18:18:09 EDT,5/23/23,18:18:09,Link,12,9,0,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786127139585272,I've seen a lot of people asking for professional development on AI. Coursera has a really in-depth article on getting started with generative AI that also links to some of their AI courses. (Link below.) They also have a specific AI for Education course that's free! ,https://www.coursera.org/learn/artificial-intelligence-education-for-teachers,,,Artificial Intelligence (AI) Education for Teachers,"Today’s learners need to know what artificial intelligence (AI) is, how it works, how to use it in their everyday lives, and how it could ... Enroll for free.",,,,-2.08
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 17:56:59 EDT,5/23/23,17:56:59,Status,2,1,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786120456252607,Is Chat GPT good for VCE study by marking practice exam questions accurately?,,,,,,,,,-20
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 17:51:59 EDT,5/23/23,17:51:59,Status,2,0,2,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786116302919689,Maybe not a ChatGPT specific question but I think this is the best place to ask this question. I am responsible for the Social Media platforms at my school. Parents are asked at the beginning of each school year for permission to allow their child’s image to be used on our Facebook and Instagram pages. Does anyone use facial recognition software to scan photos for specific students? It could save me a tonne of time manually going through hundreds of photos.,,,,,,,,,-20
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 17:51:50 EDT,5/23/23,17:51:50,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786117449586241,"I would like to share an article and a set of prompts that can be helpful to many people. Additionally, I will provide an account of how the prompts from the article were practically utilized. (https://educraft.tech/chatgpt-for-id-automate-mini-scenario-creation/) Example in action:",https://share.all-you.co.kr/api/v1/content/0f9e9f17de5273be64fc364eb09e01e9cd6d8e36,,,I want you to act like an Instructional Designer familiar with Cathy’s Moore map-it approach and...,share.allyou.co.kr,,,,-25
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 16:34:35 EDT,5/23/23,16:34:35,Link,25,15,0,10,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786095556255097,Take a look at #ChatGPT prompts for educators! Learn how to craft your best prompt to maximize your results and get what you’re looking for.,https://blog.tcea.org/chatgpt-prompts-for-busy-educators/?utm_source=FB_group&utm_medium=FB_group&utm_campaign=chatgpt-prompts-educators,,,ChatGPT Prompts for Busy Educators,Take a look at ChatGPT prompts for educators! Learn how to craft your best prompt to maximize your results and get what you're looking for.,,,,1
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 16:15:37 EDT,5/23/23,16:15:37,Photo,64,41,6,13,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786090956255557,"Having a try to instruct ChatGPT to create Quizzes which can be dumped into Education Perfect. Instructions: Create a table with 4 columns and 1 header row. Label the header row column 1:""name"" column 2: ""definition 1"" 3: definition 2"" ""definition 3"". The following text needs to fill in the left column: Design Solution Millimetre Half Millimetre Metric measurement system Measure Mark Parallel Cut Label Sand Square Chamfer Quarter Round Waste material Waste section Accuracy Precision Dimension Sequential The Design Process Plans Materials Cutting List Component Part Number -- Using woodworking as the context, provide a correct definition to each label of column 1 into each row in column 2. Provide a similar definition in column 2, but make each row of column 2 contain wrong information. Provide a similar definition in column 3, but make each row of column 3 contain obviously wrong information. Make sure the text uses words and grammar which are readable to the standard of a 10 year old. -- Continue from the row ""precision"". Place all information into a table with the same amount of columns including the header row. -- Ensure Each answer in columns 1, 2, and 3 must include the appropriate label from column 1, for example: ""a millimetre is A small unit of measurement used to measure the thickness of wood"". - Use Australian English as the standard - End. - An error I made in the instructions is to ensure columns 1, 2 and 3 must include the label from column 1. That should of course state columns 2, 3 and 4. But it figured out what I meant. I'll tweak the wording for the answers to make the 2nd option more accurate but still incorrect.",https://www.facebook.com/photo.php?fbid=10160592500680795&set=gm.786090966255556&type=3,,,Photos from Simon Andreassen's post,,,,,-1.3
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 16:10:28 EDT,5/23/23,16:10:28,Status,35,9,25,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785985919599394,"Teacher-authors, are you using ChatGPT to help you write your book? If so, how? #authorlife",,,,,,,,,-1.06
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 14:25:14 EDT,5/23/23,14:25:14,Link,20,9,6,3,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786052036259449,I'm an English Curriculum Lead and am presenting a session for our district English teachers on Friday morning. I have compiled a resource document to share. Do you have any additional links you think are essential to include? ,https://drive.google.com/file/d/1fM05xgA4TSI_7NlZpbhMQpJ_WpSx6GXB/view?usp=sharing,,,ChatGPT resources.pdf,,,,,-1.25
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 12:34:05 EDT,5/23/23,12:34:05,Status,11,3,8,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786007226263930,"Has anyone tried chatGPT for language translation? I’ve used google translate before but have been told by native Spanish speakers that it’s not very accurate. I’ve been wanting to translate a lot of written material on my canvas course as well as add captions to videos I’ve created, but I’m unsure what the capabilities of chatGPT are… or if it would provide a good accurate translation. Anyone with experience with this or have suggestions for me? I’ve not actually used chatGPT but have been lurking looking for possible uses to make my life easier and to make things better for my students.",,,,,,,,,-3.64
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 10:03:26 EDT,5/23/23,10:03:26,Status,2,1,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785935382937781,A great prompt to fix comments for students when doing reports: You are a very qualified teacher at a ______ school. Check the following comments for spelling and grammar mistakes using _______ English the rewrite the comments to be formal. Each paragraph is a separate comment.,,,,,,,,,-21
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 09:35:49 EDT,5/23/23,9:35:49,Link,47,25,14,7,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785413452989974,For your consideration. One of the minds behind AI says we need to calm down. I've assigned the article to my undergrad tech students in our ChatGPT training unit as it does a nice job laying out the limitations.,https://spectrum.ieee.org/gpt-4-calm-down#toggle-gdpr,,,Just Calm Down About GPT-4 Already,"And stop confusing performance with competence, says Rodney Brooks",,,,1.57
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 09:35:46 EDT,5/23/23,9:35:46,Status,181,98,55,27,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785923222938997,How are you using ChatGPT to mass create lesson presentations/slideshows?,,,,,,,,,4.31
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 08:20:22 EDT,5/23/23,8:20:22,Status,1,0,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785865336278119,"Hey everyone, just looking for advice. I recently did an persuasive piece with my Grade 6 FI Science class. We followed the writing process outlining the advantages and disadvantages of space explorations. Choose out best three arguments for or against. Created rough copies and prepared the essays for publishing. I had wanted to do a peer editing activity with our Grade 11/12 FSL students but my colleague just couldn’t get them through the essays. I really feel that ChatGPT would be a perfect tool to help these kids improve their writing but am hesitant as I know most will abandon the writing process for the easy route. My question is, would you show this powerful tool to Grade 6 students?",,,,,,,,,-42
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 08:20:14 EDT,5/23/23,8:20:14,Status,1,0,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785875059610480,"Slightly outside the usual as it's for attracting more students rather than in classroom use! I'm looking for something that will generate images for social media but more infographic than art. Something I can put in a class, timing, cost and our brand colour and font and it will create an image I can share on Facebook. Does anyone know anything that will do this? Preferably free even if it needs tweaking! I've tried the canva one and it's really not good (unless I am doing it wrong)",,,,,,,,,-42
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 08:20:05 EDT,5/23/23,8:20:05,Status,3,2,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785881956276457,"Last week someone posted a question about the most creative ways people have used ChatGPT in their classrooms, and then shared a clip of those talking (wizard?) created using ChatGPT and some other AI sources. I commented on it because they were going to write a tutorial, and I thought I saved the post…but I did not 😬 I’ve searched on this page using the search feature, and scrolled until I lost my mind. Anyone know which post I’m talking about and could hook me up? Thanks!",,,,,,,,,-14
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 06:58:51 EDT,5/23/23,6:58:51,Link,20,14,2,4,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785846586279994,"There are tons of ""best prompts"" lists out there. I made a bunch myself a few months ago that teachers can use. But as predicted, thanks to OpenAi, developers are making tools to create them for you. Here's one I found last week: https://chatpromptgenius.com/ The other option is to train ChatGPT to be your assistant. Remember, ChatGPT is generative AI. It is learning from you and will get better at giving you results the more you give it! Use this Prompt: ""I want to train you to be my personal assistant. I am a middle school teacher outside of Boston Massachusetts. My students are age 11 and the class I teach is called Technology Literacy. Ask me questions that you need to know so you can learn more about me and my job as a middle school teacher."" Also, don't forget to give ChatGPT feedback!",https://chatpromptgenius.com/,,,Chat Prompt Genius | Chat With Genius,"Chat Prompt Genius is a smart web app that generates unique prompts for chatbot conversations, leveraging GPT technology to save time and streamline content creation.",,,,-1.55
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 06:58:37 EDT,5/23/23,6:58:37,Photo,6,1,2,2,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785640609633925,This is how I use AI in the classroom as an EFL teacher. Then have my students paraphrase and present their mind map. 💪,https://www.facebook.com/photo.php?fbid=2336425539850461&set=gm.785640609633925&type=3,,,,,,,,-17.33
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 06:58:33 EDT,5/23/23,6:58:33,Link,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785804026284250,"Quick write up on how Gamma AI can speed up your presentation making process, feel free to check it out if you’re wanting to experiment with a new tool https://twitter.com/smartedai/status/1660927153247068163?s=46&t=jkhcqd6k96UtT5aYVAuASg Cheers 😊",https://twitter.com/smartedai/status/1660927153247068163?s=46&t=jkhcqd6k96UtT5aYVAuASg,,,Education AI on Twitter,"“Are you an educator struggling to create captivating presentations? Take a look at how Gamma AI can change up your presentation creation process! Making it simpler, quicker and more enjoyable, see my blog below #AI #AIinEducation https://t.co/i8SF2RzAjg”",,,,-15.5
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 06:57:52 EDT,5/23/23,6:57:52,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785811736283479,Just designed a short project for Vietnamese student...chat..translated for me...boom. Hope it is accurate will find out when he gets it ..lol,,,,,,,,,-84
chatGPT for Teachers,,7.03E+14,none,,,,171725,N/A,2023-05-23 06:57:44 EDT,5/23/23,6:57:44,Photo,238,150,14,57,17,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/785815686283084,"Hi everyone! 👋 I've been working on a project called ""Teaching with AI"". It's a website designed to help educators **discover resources and examples of AI in education**. Website: https://www.teachingwithai.co/ I'm starting with a few articles including: ✅ How to use ChatGTP as your personal prompt engineer ✅ Main differences between Bard and ChaGTP ✅ Top 30 prompts for educators on ChatGPT **The Plan**: I'll continue researching and writing more because knowledge is the best tool for navigating this new AI territory. 🙏 I would really appreciate your feedback and thoughts. And, if there are specific topics you're curious about, please let me know!",https://www.facebook.com/photo.php?fbid=10160199352896785&set=gm.785815696283083&type=3,,,Photos from Cris Bel's post,,,,,2.29
